NOMBRE,Proyecto,Cliente,ETAPA,TESTEANDO,TESTINGS / Hypothesis,Siguiente Hipótesis,Inicio del Test,Días desde último test,ALERTA,"META ",FEE,PRESUPUESTO,CATEGORÍA DE PROYECTO,"Desarrollo de Creativos ",Última Renovación de Creativos,Created time,Negociación Fee
RUMA - Meta Ads,Meta Ads (https://www.notion.so/Meta-Ads-d36a790aa7c64920b05689de179d4f48?pvs=21),https://www.notion.so/d56181ec85444dc0b9dbd283a4644335,Estabilización,CORRIENDO,"Implementamos nuevos anuncios de Jessy e hicimos una revisión general de toda la cuenta. Y modificamos el anuncios de Catálogo Dinámico 
Reducimos presupuesto. $12,500

⚠️ IMPORTANTE - Han bajado considerablemente las ventas generales año con año. ",,25 de junio de 2026,0,,MEJORA / CRECIMIENTO,"11.000,00 MXN","13.000,00 MXN",IMPORTANTE,Desarrollo CLIENTE,,4 de enero de 2026 20:04,No
CCH - META,Meta Ads (https://www.notion.so/Meta-Ads-e49ef6b344544199a09f304ed02f8a7a?pvs=21),https://www.notion.so/598442a9f68347c3897cb81c3ae7ff7e,Optimización,CORRIENDO,"Abril 2026 - Agregamos nueva ronda de anuncios para redes & Youtube. Agregamos campaña de WhatsApp. 

Quitamos Colección Bestseller",,9 de junio de 2026,16,,MEJORA / CRECIMIENTO,"2700,00 MXN","12.500,00 MXN",BAJO,Desarrollo CLIENTE,,4 de enero de 2026 19:59,No
SKYHIGH - Meta Ads,Meta Ads (https://www.notion.so/Meta-Ads-0b165e9452a74b41811a26bdfdc3c7a8?pvs=21),https://www.notion.so/5041306f1229436296b0d70f73ea410a,Estabilización,CORRIENDO,"Se implementó la promoción de Summer 20% y los anuncios en Español. 

Lo resultados no han sido muy buenos. ",,9 de junio de 2026,16,,MANTENIMIENTO,"12.000,00 MXN","64.407,91 MXN",IMPORTANTE,DITO,,4 de enero de 2026 17:10,No
CELESTE,Meta Ads (https://www.notion.so/Meta-Ads-9969cce92ec84899a30c1f8111399222?pvs=21),https://www.notion.so/2370bddfd5aa48dab8a50ef9ce617505,Optimización,CORRIENDO,"Implementación de nuevos anuncios. (27 MAYO) 

aumento de presupuesto $5,000 (+$500)",,9 de junio de 2026,16,,MANTENIMIENTO,"3500,00 MXN","5000,00 MXN",BAJO,Desarrollo CLIENTE,,4 de enero de 2026 20:08,No
MIRIAM ROBLES,Meta Ads (https://www.notion.so/Meta-Ads-fda0bb30355149d48827dffeec2fb604?pvs=21),https://www.notion.so/9cd0d753e43b43129daf98603e86640d,Optimización,CORRIENDO,"Quitamos citas en línea y aumentamos el presupuesto nuevamente a $4,500mil
• 25-jun-2026 — A/B test nuevos ads  ""Resistencia a la insulina – métrica ganadora: costo por conversación de WhatsApp.",,25 de junio de 2026,0,,MANTENIMIENTO,"4000,00 MXN","4500,00 MXN",BAJO,DITO,22 de junio de 2026,4 de enero de 2026 20:07,No
MULTI-ENCOMIENDAS,Meta Ads (https://www.notion.so/Meta-Ads-2ef3d2568a8845e0a3f5ce869a4e590c?pvs=21),https://www.notion.so/2c937630fb0d4888b32b730f7fd77d42,Optimización,CORRIENDO,"Aumento del 30% en Louisiana. (Marzo 27) 
Implementación WhatsApp Austin
  • Aumento presupuesto WhastApp Austin
  • Desarrollo Ads Testimonios

Aterrizamos el reporte histórico de cada cuenta. Falta datos del cliente. ",,25 de mayo de 2026,31,,MEJORA / CRECIMIENTO,"26.500,00 MXN","90.000,00 MXN",DIAMANTE,MIX,,4 de enero de 2026 20:06,No
"GYMEX ",Meta Ads (https://www.notion.so/Meta-Ads-1813f91ee6148056973fd86537fb1457?pvs=21),https://www.notion.so/8259a87ae72a43368571e5c22d845be0,Optimización,CORRIENDO,"Campaña de productos individuales Realleader. 

Aumento de presupuesto en anuncio con más ventas. ",,9 de junio de 2026,16,,MEJORA / CRECIMIENTO,"5000,00 MXN","5000,00 MXN",INTERMEDIO,MIX,,4 de enero de 2026 20:11,No
ADN GYM (4 sucursales),Meta Ads (https://www.notion.so/Meta-Ads-1a03f91ee61480b5adf3c22d35cfba12?pvs=21),https://www.notion.so/1823f91ee61481ad92a0d83c193e2f4c,Optimización,CORRIENDO,"Campaña Video Estilo UGC Pachuca San Javier
Nuevo video “Planes”",,27 de abril de 2026,59,⚠️ Over 35 days,MANTENIMIENTO,"15.000,00 MXN","6000,00 MXN",IMPORTANTE,MIX,,4 de enero de 2026 20:11,Yes
"SER RIZADA ",Meta Ads (https://www.notion.so/Meta-Ads-2923f91ee614805da93fe863cf8587a2?pvs=21),https://www.notion.so/1f33f91ee6148071a505ca331a686112,Optimización,CORRIENDO,"  • Optimización general por baja importante en volumen e incremento de CPR
  • Implementación Nuevo Ad COLD y recortes en Retargeting",,28 de mayo de 2026,28,,MEJORA / CRECIMIENTO,"0,00 MXN","10.000,00 MXN",DIAMANTE,DITO,,4 de enero de 2026 20:12,No
POLIESTIRENOS,Meta Ads (https://www.notion.so/Meta-Ads-2f03f91ee61480e48fa9f5b6b9a0b0a9?pvs=21),https://www.notion.so/28f3f91ee614811d87c8f726799791ef,Optimización,CORRIENDO,Relanzamiento anuncios post ERROR 2,,15 de mayo de 2026,41,⚠️ Over 35 days,MEJORA / CRECIMIENTO,"8500,00 MXN","2500,00 MXN",INTERMEDIO,DITO,,4 de enero de 2026 20:12,No
