NOMBRE,ALERTA,CATEGORÍA DE PROYECTO,Cliente,Created time,"Desarrollo de Creativos ",Días desde último test,ETAPA,FEE,Inicio del Test,"META ",Negociación Fee,PRESUPUESTO,Proyecto,Siguiente Hipótesis,TESTEANDO,TESTINGS / Hypothesis,Última Renovación de Creativos
SKYHIGH - Meta Ads,,IMPORTANTE,https://www.notion.so/5041306f1229436296b0d70f73ea410a,4 de enero de 2026 17:10,DITO,16,Estabilización,"12.000,00 MXN",9 de junio de 2026,MANTENIMIENTO,No,"64.407,91 MXN",Meta Ads (https://www.notion.so/Meta-Ads-0b165e9452a74b41811a26bdfdc3c7a8?pvs=21),,CORRIENDO,"Se implementó la promoción de Summer 20% y los anuncios en Español. 

Lo resultados no han sido muy buenos. ",
CCH - META,,BAJO,https://www.notion.so/598442a9f68347c3897cb81c3ae7ff7e,4 de enero de 2026 19:59,Desarrollo CLIENTE,16,Optimización,"2700,00 MXN",9 de junio de 2026,MEJORA / CRECIMIENTO,No,"12.500,00 MXN",Meta Ads (https://www.notion.so/Meta-Ads-e49ef6b344544199a09f304ed02f8a7a?pvs=21),,CORRIENDO,"Abril 2026 - Agregamos nueva ronda de anuncios para redes & Youtube. Agregamos campaña de WhatsApp. 

Quitamos Colección Bestseller",
RUMA - Meta Ads,,IMPORTANTE,https://www.notion.so/d56181ec85444dc0b9dbd283a4644335,4 de enero de 2026 20:04,Desarrollo CLIENTE,0,Estabilización,"11.000,00 MXN",25 de junio de 2026,MEJORA / CRECIMIENTO,No,"13.000,00 MXN",Meta Ads (https://www.notion.so/Meta-Ads-d36a790aa7c64920b05689de179d4f48?pvs=21),,CORRIENDO,"Implementamos nuevos anuncios de Jessy e hicimos una revisión general de toda la cuenta. Y modificamos el anuncios de Catálogo Dinámico 
Reducimos presupuesto. $12,500

⚠️ IMPORTANTE - Han bajado considerablemente las ventas generales año con año. ",
MULTI-ENCOMIENDAS,,DIAMANTE,https://www.notion.so/2c937630fb0d4888b32b730f7fd77d42,4 de enero de 2026 20:06,MIX,31,Optimización,"26.500,00 MXN",25 de mayo de 2026,MEJORA / CRECIMIENTO,No,"90.000,00 MXN",Meta Ads (https://www.notion.so/Meta-Ads-2ef3d2568a8845e0a3f5ce869a4e590c?pvs=21),,CORRIENDO,"Aumento del 30% en Louisiana. (Marzo 27) 
Implementación WhatsApp Austin
  • Aumento presupuesto WhastApp Austin
  • Desarrollo Ads Testimonios

Aterrizamos el reporte histórico de cada cuenta. Falta datos del cliente. ",
MIRIAM ROBLES,,BAJO,https://www.notion.so/9cd0d753e43b43129daf98603e86640d,4 de enero de 2026 20:07,DITO,0,Optimización,"4000,00 MXN",25 de junio de 2026,MANTENIMIENTO,No,"4500,00 MXN",Meta Ads (https://www.notion.so/Meta-Ads-fda0bb30355149d48827dffeec2fb604?pvs=21),,CORRIENDO,"Quitamos citas en línea y aumentamos el presupuesto nuevamente a $4,500mil
• 25-jun-2026 — A/B test nuevos ads  ""Resistencia a la insulina – métrica ganadora: costo por conversación de WhatsApp.",22 de junio de 2026
CELESTE,,BAJO,https://www.notion.so/2370bddfd5aa48dab8a50ef9ce617505,4 de enero de 2026 20:08,Desarrollo CLIENTE,16,Optimización,"3500,00 MXN",9 de junio de 2026,MANTENIMIENTO,No,"5000,00 MXN",Meta Ads (https://www.notion.so/Meta-Ads-9969cce92ec84899a30c1f8111399222?pvs=21),,CORRIENDO,"Implementación de nuevos anuncios. (27 MAYO) 

aumento de presupuesto $5,000 (+$500)",
"GYMEX ",,INTERMEDIO,https://www.notion.so/8259a87ae72a43368571e5c22d845be0,4 de enero de 2026 20:11,MIX,16,Optimización,"5000,00 MXN",9 de junio de 2026,MEJORA / CRECIMIENTO,No,"5000,00 MXN",Meta Ads (https://www.notion.so/Meta-Ads-1813f91ee6148056973fd86537fb1457?pvs=21),,CORRIENDO,"Campaña de productos individuales Realleader. 

Aumento de presupuesto en anuncio con más ventas. ",
ADN GYM (4 sucursales),⚠️ Over 35 days,IMPORTANTE,https://www.notion.so/1823f91ee61481ad92a0d83c193e2f4c,4 de enero de 2026 20:11,MIX,59,Optimización,"15.000,00 MXN",27 de abril de 2026,MANTENIMIENTO,Yes,"6000,00 MXN",Meta Ads (https://www.notion.so/Meta-Ads-1a03f91ee61480b5adf3c22d35cfba12?pvs=21),,CORRIENDO,"Campaña Video Estilo UGC Pachuca San Javier
Nuevo video “Planes”",
EDIMEX,🚨 Over 60 days,IMPORTANTE,https://www.notion.so/3deaabf742ef45079f6b3ce667c5ebac,4 de enero de 2026 20:11,DITO,98,Pausado,"10.000,00 MXN",19 de marzo de 2026,MEJORA / CRECIMIENTO,No,"4500,00 MXN",Meta Ads (https://www.notion.so/Meta-Ads-46bda59056eb48f89dd806a3a9682a81?pvs=21),,NADA ACTIVO,Migración de campañas a WhatsApp post revisión mensual con Toni,
"SER RIZADA ",,DIAMANTE,https://www.notion.so/1f33f91ee6148071a505ca331a686112,4 de enero de 2026 20:12,DITO,28,Optimización,"0,00 MXN",28 de mayo de 2026,MEJORA / CRECIMIENTO,No,"10.000,00 MXN",Meta Ads (https://www.notion.so/Meta-Ads-2923f91ee614805da93fe863cf8587a2?pvs=21),,CORRIENDO,"  • Optimización general por baja importante en volumen e incremento de CPR
  • Implementación Nuevo Ad COLD y recortes en Retargeting",
